customer_id,full_name,age,gender,marital_status,city,state,education,employment_type,years_of_experience,monthly_income,loan_id,loan_type,loan_amount,loan_tenure_months,interest_rate,emi_amount,loan_purpose,loan_application_date,loan_approval_status,credit_score,existing_loans,total_existing_debt,debt_to_income_ratio,collateral_value,co_applicant,repayment_status,missed_payments,default_status,days_past_due,recovery_amount
CUST10001,Aishwarya Desai,39,Female,Married,Mumbai,Maharashtra,12th Pass,Salaried,20,38068,LOAN20001,Business Loan,2807000,36,9.96,90521,Business Expansion,2023-10-17,Rejected,668,1,21395,2.94,2308049,,,,,,
CUST10002,Neha Verma,29,Male,Married,Kolkata,West Bengal,Graduate,Salaried,6,90526,LOAN20002,Education Loan,1601000,120,15.21,26036,Postgraduate Studies,2021-03-27,Approved,637,0,0,0.29,2187928,,On Time,0,0,0,
CUST10003,Arjun Pandey,28,Female,Single,Hyderabad,Telangana,Graduate,Salaried,4,35451,LOAN20003,Education Loan,294000,84,8.56,4664,Postgraduate Studies,2023-05-21,Approved,508,0,0,0.13,385378,Yes,Late,2,0,37,
CUST10004,Ganesh Singh,29,Female,Married,Mumbai,Maharashtra,12th Pass,Salaried,10,32737,LOAN20004,Business Loan,2411000,48,18.34,71252,Working Capital,2024-11-09,Rejected,656,0,0,2.18,2694020,No,,,,,
CUST10005,Rahul Pandey,36,Male,Single,Lucknow,Uttar Pradesh,Post Graduate,Self-Employed,14,283059,LOAN20005,Business Loan,1098000,36,13.38,37197,Working Capital,2020-11-30,Approved,523,1,70589,0.38,1638947,No,On Time,0,0,0,
CUST10006,Swati Gupta,25,Male,Married,Delhi,Delhi,Graduate,Salaried,1,147106,LOAN20006,Personal Loan,380000,48,10.45,9720,Wedding Expenses,2023-03-07,Approved,553,2,102490,0.76,436795,Yes,Defaulted,11,1,641,149071
CUST10007,Madhuri Jain,28,Male,Married,Chennai,Tamil Nadu,Graduate,Self-Employed,6,235955,LOAN20007,Personal Loan,279000,24,13.1,13277,Medical Emergency,2024-03-27,Approved,728,1,16175,0.12,253049,Yes,On Time,0,0,0,
CUST10008,Neha Saxena,21,Male,Married,Kolkata,West Bengal,Graduate,Self-Employed,0,198516,LOAN20008,Education Loan,1260000,60,14.98,29962,Undergraduate Studies,2023-10-28,Approved,767,1,44973,0.38,1308034,Yes,On Time,0,0,0,
CUST10009,Rekha Shinde,38,Female,Married,Kolkata,West Bengal,Graduate,Salaried,15,30719,LOAN20009,Home Loan,5758000,120,17.08,100364,Home Construction,2024-09-19,Approved,803,0,0,3.27,5222433,No,On Time,0,0,0,
CUST10010,Aarav Mittal,43,Male,Married,Hyderabad,Telangana,Post Graduate,Salaried,22,42320,LOAN20010,Home Loan,1663000,120,17.72,29665,Home Construction,2021-05-05,Approved,681,0,0,0.7,1990860,,Late,1,0,9,
CUST10011,Kavita Malhotra,39,Female,Married,Kolkata,West Bengal,12th Pass,Business Owner,16,288097,LOAN20011,Business Loan,2723000,60,18.11,69309,Working Capital,2023-12-31,Approved,772,3,152571,0.77,3458702,Yes,On Time,0,0,0,
CUST10012,Akash Pillai,31,Female,Married,Mumbai,Maharashtra,Below 10th,Salaried,11,118917,LOAN20012,Home Loan,6146000,180,13.97,81724,Home Purchase,2020-05-25,Approved,562,0,0,0.69,8812097,Yes,Late,1,0,35,
CUST10013,Anil Garg,36,Female,Married,Jaipur,Rajasthan,Post Graduate,Business Owner,15,155819,LOAN20013,Personal Loan,304000,48,16.38,8674,Wedding Expenses,2020-07-12,Approved,518,0,0,0.06,318594,Yes,On Time,0,0,0,
CUST10014,Deepika Joshi,35,Male,Single,Mumbai,Maharashtra,Post Graduate,Salaried,14,57601,LOAN20014,Personal Loan,405000,12,10.24,35651,Wedding Expenses,2023-01-03,Approved,877,4,275200,5.4,376018,Yes,On Time,0,0,0,
CUST10015,Smita Bansal,28,Female,Married,Pune,Maharashtra,Graduate,Self-Employed,4,170016,LOAN20015,Personal Loan,733000,60,16.7,18098,Medical Emergency,2024-03-23,Approved,741,2,81964,0.59,835582,Yes,On Time,0,0,0,
CUST10016,Rakesh Shinde,35,Female,Single,Ahmedabad,Gujarat,Graduate,Salaried,13,170163,LOAN20016,Home Loan,5048000,300,9.2,43056,Home Construction,2021-03-21,Approved,639,2,35330,0.46,5954300,No,Late,1,0,4,
CUST10017,Vinod Kumar,31,Male,Divorced,Nagpur,Maharashtra,Post Graduate,Salaried,7,173496,LOAN20017,Business Loan,1070000,36,11.94,35508,Working Capital,2023-03-31,Approved,609,1,15209,0.29,1169999,No,Late,8,1,334,177019
CUST10018,Deepika Pawar,37,Male,Married,Ahmedabad,Gujarat,Graduate,Business Owner,15,448059,LOAN20018,Business Loan,1108000,24,12.54,52437,Business Expansion,2020-05-30,Approved,742,1,37938,0.2,989133,Yes,On Time,0,0,0,
CUST10019,Sanjay Chopra,37,Male,Single,Surat,Gujarat,Graduate,Salaried,15,61181,LOAN20019,Car Loan,1409000,36,14.85,48740,Used Car Purchase,2023-09-20,Approved,747,2,47154,1.57,1259651,,On Time,0,0,0,
CUST10020,Neha Pandey,41,Male,Married,Surat,Gujarat,Graduate,Self-Employed,19,257782,LOAN20020,Car Loan,726000,60,13.06,16541,Used Car Purchase,2024-09-28,Approved,603,1,16658,0.13,,Yes,On Time,0,0,0,
CUST10021,Aishwarya Shinde,26,Female,Married,Nagpur,Maharashtra,Post Graduate,Self-Employed,7,242547,LOAN20021,Car Loan,1226000,84,15.26,23837,New Car Purchase,2020-08-17,Approved,614,1,19862,0.18,1573833,No,On Time,0,0,0,
CUST10022,Sachin Mehta,26,Male,Married,Mumbai,Maharashtra,12th Pass,Business Owner,4,478807,LOAN20022,Business Loan,3558000,24,17.39,176583,Working Capital,2023-10-28,Approved,758,1,42706,0.46,3727272,Yes,Late,1,0,56,
CUST10023,Ashok Mishra,39,Female,Married,Chennai,Tamil Nadu,Graduate,Salaried,15,216505,LOAN20023,Personal Loan,238000,36,16.11,8380,Debt Consolidation,2024-06-30,Approved,674,0,0,0.04,321576,,On Time,0,0,0,
CUST10024,Varsha Saxena,36,Male,Single,Hyderabad,Telangana,Graduate,Business Owner,14,104438,LOAN20024,Car Loan,777000,48,7.76,18881,New Car Purchase,2022-03-27,Approved,710,3,159075,1.7,659357,No,On Time,0,0,0,
